wire_number,A_baseline_json_value,B_reversed_json_value,A_baseline_mapped_wire,B_reversed_mapped_wire,A_baseline_residual,B_reversed_residual,A_baseline_summary_value,B_reversed_summary_value
224,5.73,5.86,224,258,-0.5328428723974321,0.2501919328107274,5.197157127602568,6.110191932810728
225,5.71,5.58,225,257,0.6764077776544779,0.11922519268273479,6.386407777654478,5.699225192682735
226,5.92,5.82,226,256,-0.4171228753229421,-0.5580263462139943,5.502877124677058,5.261973653786006
227,6.11,5.88,227,255,-0.3986667050242456,0.0439715195535717,5.711333294975755,5.923971519553572
228,6.21,5.89,228,254,-0.20994535633064437,0.08984926522056647,6.000054643669356,5.979849265220566
229,6.05,5.86,229,253,-0.3659107238386774,-0.3373081619825893,5.684089276161322,5.522691838017411
230,6.41,5.94,230,252,-0.4869110013346738,0.17567694496483544,5.923088998665326,6.115676944964836
231,5.91,6.16,231,251,-0.38959668829907823,-0.06956760844477916,5.520403311700922,6.090432391555221
232,6.21,5.99,232,250,-0.4993390036524783,-0.48136692042984386,5.710660996347522,5.508633079570156
233,6.08,5.88,233,249,0.2672284450660882,0.17399926790389486,6.347228445066088,6.053999267903895
234,6.36,5.71,234,248,-0.43439712449111045,-0.4331274923099562,5.92560287550889,5.276872507690044
235,5.91,5.82,235,247,-0.4259616837239317,0.5772881085647761,5.484038316276068,6.397288108564776
236,6.03,5.77,236,246,-0.5283627525491132,0.38306032947216373,5.501637247450887,6.153060329472163
237,5.91,6.05,237,245,-0.64506612923803,-0.39580854332646975,5.26493387076197,5.65419145667353
238,5.91,6.08,238,244,-0.4842594256392445,0.15576040107488964,5.425740574360756,6.23576040107489
239,6.36,6.19,239,243,-0.45375275660365944,-0.763873952111739,5.906247243396341,5.426126047888261
240,5.92,5.76,240,242,-0.4322874930975047,-0.28620597678358095,5.487712506902495,5.473794023216419
241,5.71,5.76,241,241,-0.20401000822277116,-0.39025741130114344,5.505989991777229,5.369742588698856
242,5.7,5.62,242,240,0.5965409956360066,-0.18883319296051226,6.296540995636007,5.431166807039488
243,5.92,5.85,243,239,-0.7363477472572395,-0.6832553024036718,5.18365225274276,5.166744697596328
244,5.77,5.59,244,238,0.3794002661342111,0.3687096210593763,6.149400266134211,5.958709621059376
245,5.82,5.89,245,237,-0.5385424338075264,-0.47064042317682464,5.281457566192474,5.419359576823175
246,5.73,5.88,246,236,0.8499220362543651,-0.603126374245762,6.579922036254366,5.276873625754238
247,6.06,5.74,247,235,-0.22119166478636476,0.6596420963460705,5.838808335213635,6.399642096346071
248,5.99,5.8,248,234,-0.6081339774426633,-0.5231263742457619,5.381866022557337,5.276873625754238
249,6.03,5.79,249,233,-0.9576278195695966,-0.45711781334031265,5.072372180430404,5.332882186659687
250,5.74,5.77,250,232,0.5990889163389062,-0.18848865797788772,6.339088916338906,5.581511342022112
251,5.91,5.96,251,231,0.09605896744714926,-0.6831274923099562,6.006058967447149,5.276872507690044
252,5.83,5.82,252,230,-0.5461630105108881,-0.5612111948130103,5.283836989489112,5.25878880518699
253,5.85,5.88,253,229,-0.22506075401690584,-0.39596396332370976,5.624939245983094,5.48403603667629
254,5.76,5.92,254,228,0.46659349730800503,-0.42749312225812286,6.226593497308005,5.492506877741877
255,5.76,5.96,255,227,0.4664805477199696,-0.4790489673196596,6.226480547719969,5.48095103268034
256,5.92,5.67,256,226,0.11881766796893434,-0.12488163777235162,6.038817667968934,5.545118362227648
257,5.91,6.05,257,225,0.6019080974560822,-0.4323158086557939,6.511908097456082,5.617684191344206
258,6.05,5.99,258,224,-0.353293630077383,-0.2161746346041733,5.696706369922617,5.773825365395827
259,6.08,6.05,259,223,-0.24136454872374014,-0.6095030380142692,5.83863545127626,5.440496961985731
260,6.17,5.85,260,222,-0.18040013492389217,-0.3665418265840721,5.989599865076108,5.483458173415928
261,6.19,5.96,261,221,-0.9087907489376121,-0.4739064317845241,5.281209251062388,5.486093568215476
262,5.91,5.97,262,220,-0.24626450615765982,0.14819403874277182,5.66373549384234,6.118194038742772
263,6.03,5.99,263,219,0.055153217021517875,-0.505960543923865,6.085153217021518,5.484039456076135
264,6.03,6.17,264,218,-0.20045557582603468,-1.0726732375098997,5.829544424173966,5.0973267624901
265,6.19,5.74,265,217,-0.706696830090288,0.06132437068221197,5.483303169909712,5.801324370682212
266,5.89,6.03,266,216,-0.044248319141450665,0.050669638701290154,5.845751680858549,6.08066963870129
267,5.76,6.03,267,215,-0.002694065348415542,-0.7530302202820396,5.757305934651584,5.276969779717961
268,6.13,5.8,268,214,-0.04417920673030551,-0.01632653041937715,6.085820793269694,5.783673469580623
269,5.89,6.1,269,213,0.5406190547480323,-0.8231274923099559,6.430619054748032,5.276872507690044
270,6.21,5.73,270,212,-0.814902585896851,0.31534156531898905,5.395097414103149,6.0453415653189895
271,5.85,5.86,271,211,0.8431445660458623,-0.6294051188509275,6.693144566045862,5.230594881149073
272,6.14,5.89,272,210,0.3971258278166303,0.22098962170122416,6.53712582781663,6.110989621701224
273,5.97,6.0,273,209,0.5686702615110297,-0.6388708039234992,6.5386702615110295,5.361129196076501
