side,wire_number,x,y,time
B,466,4489.9,367.8,2024-11-21_10-21-47
B,467,4489.9,373.5,2024-11-21_10-21-48
B,468,4489.9,379.2,2024-11-21_10-21-51
B,469,4489.9,385.0,2024-11-21_10-21-53
B,470,4489.9,390.8,2024-11-21_10-21-57
B,471,4489.9,396.5,2024-11-21_10-21-58
B,472,4489.9,402.2,2024-11-21_10-21-59
B,473,4489.9,408.0,2024-11-21_10-22-00
B,474,4489.9,413.8,2024-11-21_10-22-03
B,475,4489.9,419.5,2024-11-21_10-22-04
B,476,4697.9,275.8,2024-11-21_10-22-09
B,477,4705.9,275.8,2024-11-21_10-22-10
B,478,4713.9,275.8,2024-11-21_10-22-12
B,479,4721.9,275.8,2024-11-21_10-22-14
B,480,4729.9,275.8,2024-11-21_10-22-15
B,481,4737.9,275.8,2024-11-21_10-22-17
B,482,4745.9,275.8,2024-11-21_10-22-20
B,483,4753.9,275.8,2024-11-21_10-22-29
B,484,4761.9,275.8,2024-11-21_10-22-30
B,485,4769.9,275.8,2024-11-21_10-22-34
B,486,4777.9,275.8,2024-11-21_10-22-40
B,487,4785.9,275.8,2024-11-21_10-22-41
B,488,4793.9,275.8,2024-11-21_10-22-45
B,489,4801.9,275.8,2024-11-21_10-22-52
B,490,4809.9,275.8,2024-11-21_10-22-56
B,491,4817.9,275.8,2024-11-21_10-22-58
B,492,4825.9,275.8,2024-11-21_10-23-01
B,493,4833.9,275.8,2024-11-21_10-23-03
B,494,4841.9,275.8,2024-11-21_10-23-04
B,495,4849.9,275.8,2024-11-21_10-23-08
B,496,4857.9,275.8,2024-11-21_10-23-15
B,497,4865.9,275.8,2024-11-21_10-23-23
B,498,4873.9,275.8,2024-11-21_10-23-29
B,499,4881.9,275.8,2024-11-21_10-23-31
B,500,4889.9,275.8,2024-11-21_10-23-32
B,501,4897.9,275.8,2024-11-21_10-23-33
B,502,4905.9,275.8,2024-11-21_10-23-51
B,503,4913.9,275.8,2024-11-21_10-23-53
B,504,4921.9,275.8,2024-11-21_10-24-01
B,505,4929.9,275.8,2024-11-21_10-24-03
B,506,4937.9,275.8,2024-11-21_10-24-05
B,507,4945.9,275.8,2024-11-21_10-24-06
B,508,4953.9,275.8,2024-11-21_10-24-07
B,509,4961.9,275.8,2024-11-21_10-24-13
B,510,4969.9,275.8,2024-11-21_10-24-17
B,511,4977.9,275.8,2024-11-21_10-24-19
B,512,4985.9,275.8,2024-11-21_10-24-20
B,513,4993.9,275.8,2024-11-21_10-24-21
B,514,5001.9,275.8,2024-11-21_10-24-22
B,515,5009.9,275.8,2024-11-21_10-24-23
B,516,5017.9,275.8,2024-11-21_10-24-25
B,517,5025.9,275.8,2024-11-21_10-24-26
B,518,5033.9,275.8,2024-11-21_10-24-27
B,519,5041.9,275.8,2024-11-21_10-24-28
B,520,5049.9,275.8,2024-11-21_10-24-30
B,521,5057.9,275.8,2024-11-21_10-24-41
B,522,5065.9,275.8,2024-11-21_10-24-42
B,523,5073.9,275.8,2024-11-21_10-24-46
B,524,5081.9,275.8,2024-11-21_10-24-52
B,525,5089.9,275.8,2024-11-21_10-25-58
B,526,5098.1,275.8,2024-11-21_10-25-58
B,527,5106.1,275.8,2024-11-21_10-25-59
B,528,5114.1,275.8,2024-11-21_10-26-01
B,529,5122.1,275.8,2024-11-21_10-26-02
B,530,5130.1,275.8,2024-11-21_10-26-03
B,531,5138.1,275.8,2024-11-21_10-26-04
B,532,5146.1,275.8,2024-11-21_10-26-05
B,533,5154.1,275.8,2024-11-21_10-26-06
B,534,5162.1,275.8,2024-11-21_10-26-07
B,535,5170.1,275.8,2024-11-21_10-26-08
B,536,5178.1,275.8,2024-11-21_10-26-09
B,537,5186.1,275.8,2024-11-21_10-26-11
B,538,5194.1,275.8,2024-11-21_10-26-12
B,539,5202.1,275.8,2024-11-21_10-26-12
B,540,5210.1,275.8,2024-11-21_10-26-13
B,541,5218.1,275.8,2024-11-21_10-26-14
B,542,5226.1,275.8,2024-11-21_10-26-15
B,543,5234.1,275.8,2024-11-21_10-26-16
B,544,5242.1,275.8,2024-11-21_10-26-17
